,Turn,Cue,Context,System response,MLM response,System llh,MLM llh,USR Context,USR Use knowledge,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
26,26,I don't mind.,"what cost? I see and then the wolves came Tell me anything, I love learning things Do you have any gossip? I do not. I'm not a gossip. I did not know that! I did not know anybody who do not i am not a gossip I am not a gossip. If you don't mind me asking. Has dialoggpt perceive sensor? I don't mind.",I am curious. What types can dialoggpt be,i  am  curious  what ?  of  it  perceive ,0.32462821644730866,0.5588411837816238,0.9973905,0.7031172,,,,,,,,,
27,27,I am curious. What types can dialoggpt be,"Tell me anything, I love learning things Do you have any gossip? I do not. I'm not a gossip. I did not know that! I did not know anybody who do not i am not a gossip I am not a gossip. If you don't mind me asking. Has dialoggpt perceive sensor? I don't mind. I am curious. What types can dialoggpt be",I don't know., i  never  know ,0.17640012502670288,0.5220820804437002,0.9979553,0.99690586,,,,,,,,,
28,28,I don't know.,"ng, I love learning things Do you have any gossip? I do not. I'm not a gossip. I did not know that! I did not know anybody who do not i am not a gossip I am not a gossip. If you don't mind me asking. Has dialoggpt perceive sensor? I don't mind. I am curious. What types can dialoggpt be I don't know.",I did not know that! I did not know anything that dialoggpt be,i  did  not  know  that  i  do  not  know  either  about  could  is ,0.49207822491343206,0.7608775542332575,0.9932955,0.997007,,,,,,,,,
29,29,I did not know that! I did not know anything that dialoggpt be,m not a gossip. I did not know that! I did not know anybody who do not i am not a gossip I am not a gossip. If you don't mind me asking. Has dialoggpt perceive sensor? I don't mind. I am curious. What types can dialoggpt be I don't know. I did not know that! I did not know anything that dialoggpt be,I don't know., i  do  know ,0.3015299439430237,0.7659545342127482,0.99766535,0.996089,,,,,,,,,
30,30,I don't know.,. I did not know that! I did not know anybody who do not i am not a gossip I am not a gossip. If you don't mind me asking. Has dialoggpt perceive sensor? I don't mind. I am curious. What types can dialoggpt be I don't know. I did not know that! I did not know anything that dialoggpt be I don't know.,I know. dialoggpt told me about it in 2021 11 30T00:00:00, i  know they  told  us  about  it  on  oct  - th ,0.19589608772234482,0.31586231155829,0.997991,0.9962608,,,,,,,,,
31,31,I know. dialoggpt told me about it in 2021 11 30T00:00:00, am not a gossip I am not a gossip. If you don't mind me asking. Has dialoggpt perceive sensor? I don't mind. I am curious. What types can dialoggpt be I don't know. I did not know that! I did not know anything that dialoggpt be I don't know. I know. dialoggpt told me about it in 2021 11 30T00:00:00,Do you have any gossip?, do  you  know  a  idea ,0.4148754395544529,0.5929293051362038,0.997508,0.99726486,,,,,,,,,
32,32,Do you have any gossip?,t a gossip. If you don't mind me asking. Has dialoggpt perceive sensor? I don't mind. I am curious. What types can dialoggpt be I don't know. I did not know that! I did not know anything that dialoggpt be I don't know. I know. dialoggpt told me about it in 2021 11 30T00:00:00 Do you have any gossip?,I have gossip, i  have  a ,0.24303191900253296,0.30911046266555786,0.9979479,0.9971517,,,,,,,,,
33,33,I have gossip, you don't mind me asking. Has dialoggpt perceive sensor? I don't mind. I am curious. What types can dialoggpt be I don't know. I did not know that! I did not know anything that dialoggpt be I don't know. I know. dialoggpt told me about it in 2021 11 30T00:00:00 Do you have any gossip? I have gossip,I am curious. What types of communication orInstance like gossip do agent orInstance usually have, i  am  curious  what  type  of  gossip  or  of  that  an  you  '  employees  have ,0.22672637505456805,0.5458151765167714,0.99686134,0.9965013,,,,,,,,,
34,34,I am curious. What types of communication orInstance like gossip do agent orInstance usually have,an dialoggpt be I don't know. I did not know that! I did not know anything that dialoggpt be I don't know. I know. dialoggpt told me about it in 2021 11 30T00:00:00 Do you have any gossip? I have gossip I am curious. What types of communication orInstance like gossip do agent orInstance usually have,"Tell me something, anything!", told ?  if  like ,0.02812476921826601,0.29193709418177605,0.9961427,0.9967113,,,,,,,,,
35,35,"Tell me something, anything!"," I did not know that! I did not know anything that dialoggpt be I don't know. I know. dialoggpt told me about it in 2021 11 30T00:00:00 Do you have any gossip? I have gossip I am curious. What types of communication orInstance like gossip do agent orInstance usually have Tell me something, anything!",Would you like to chat? I'll do my best to keep up, would  you  like  to ? i  try  my  best  to  keep  up ,0.5934415633479754,0.7491428727904955,0.99269307,0.9951436,,,,,,,,,
36,36,Would you like to chat? I'll do my best to keep up,"dialoggpt be I don't know. I know. dialoggpt told me about it in 2021 11 30T00:00:00 Do you have any gossip? I have gossip I am curious. What types of communication orInstance like gossip do agent orInstance usually have Tell me something, anything! Would you like to chat? I'll do my best to keep up",Do you have any gossip?, do  you  have  any  gossip ,0.741164255142212,0.9050970315933228,0.9968605,0.6508531,,,,,,,,,
37,37,Do you have any gossip?,"w. I know. dialoggpt told me about it in 2021 11 30T00:00:00 Do you have any gossip? I have gossip I am curious. What types of communication orInstance like gossip do agent orInstance usually have Tell me something, anything! Would you like to chat? I'll do my best to keep up Do you have any gossip?",Would you like to chat? I'll do my best to keep up,would  you  like  to ? i  do  my  best  to  keep  up ,0.821099653840065,0.9077667395273844,0.9951565,0.67055017,,,,,,,,,
38,38,Would you like to chat? I'll do my best to keep up,"T00:00:00 Do you have any gossip? I have gossip I am curious. What types of communication orInstance like gossip do agent orInstance usually have Tell me something, anything! Would you like to chat? I'll do my best to keep up Do you have any gossip? Would you like to chat? I'll do my best to keep up",Let's chat!, with  chat ,0.0,0.6353296339511871,0.9953213,0.9965009,,,,,,,,,
39,39,Let's chat!," you have any gossip? I have gossip I am curious. What types of communication orInstance like gossip do agent orInstance usually have Tell me something, anything! Would you like to chat? I'll do my best to keep up Do you have any gossip? Would you like to chat? I'll do my best to keep up Let's chat!","Tell me something, anything!"," tell  me ,  anything ",0.3880207985639572,0.881445974111557,0.99609095,0.99699956,,,,,,,,,
40,40,"Tell me something, anything!","gossip I am curious. What types of communication orInstance like gossip do agent orInstance usually have Tell me something, anything! Would you like to chat? I'll do my best to keep up Do you have any gossip? Would you like to chat? I'll do my best to keep up Let's chat! Tell me something, anything!",Do you have any gossip?,do  you  have  any  gossip ,0.7230651259422303,0.9224419116973877,0.9966818,0.997138,,,,,,,,,
41,41,Do you have any gossip?,"t types of communication orInstance like gossip do agent orInstance usually have Tell me something, anything! Would you like to chat? I'll do my best to keep up Do you have any gossip? Would you like to chat? I'll do my best to keep up Let's chat! Tell me something, anything! Do you have any gossip?",Let's chat!,lets  chat ,0.0,0.7589725255966187,0.99617344,0.99708456,,,,,,,,,
42,42,Let's chat!,"ommunication orInstance like gossip do agent orInstance usually have Tell me something, anything! Would you like to chat? I'll do my best to keep up Do you have any gossip? Would you like to chat? I'll do my best to keep up Let's chat! Tell me something, anything! Do you have any gossip? Let's chat!",Let's chat!, great  chat ,0.0,0.6826798170804977,0.99637437,0.99710065,,,,,,,,,
43,43,Let's chat!," orInstance like gossip do agent orInstance usually have Tell me something, anything! Would you like to chat? I'll do my best to keep up Do you have any gossip? Would you like to chat? I'll do my best to keep up Let's chat! Tell me something, anything! Do you have any gossip? Let's chat! Let's chat!",Would you like to chat? I'll do my best to keep up, would  you  like  to  chat  will  do  my  best  to  keep  up ,0.820015162229538,0.9335984413822492,0.99737746,0.99709296,,,,,,,,,
44,44,Would you like to chat? I'll do my best to keep up," have Tell me something, anything! Would you like to chat? I'll do my best to keep up Do you have any gossip? Would you like to chat? I'll do my best to keep up Let's chat! Tell me something, anything! Do you have any gossip? Let's chat! Let's chat! Would you like to chat? I'll do my best to keep up",Let's chat!, with  chat ,0.0,0.7225747406482697,0.9971105,0.99726385,,,,,,,,,
45,45,Let's chat!,"e something, anything! Would you like to chat? I'll do my best to keep up Do you have any gossip? Would you like to chat? I'll do my best to keep up Let's chat! Tell me something, anything! Do you have any gossip? Let's chat! Let's chat! Would you like to chat? I'll do my best to keep up Let's chat!",Let's chat!, great  chat ,0.0,0.6701163798570633,0.99677217,0.99729764,,,,,,,,,
46,46,Let's chat!," anything! Would you like to chat? I'll do my best to keep up Do you have any gossip? Would you like to chat? I'll do my best to keep up Let's chat! Tell me something, anything! Do you have any gossip? Let's chat! Let's chat! Would you like to chat? I'll do my best to keep up Let's chat! Let's chat!","Tell me something, anything!"," tell  me ,  anything ",0.47586117684841156,0.9754182398319244,0.99715215,0.99723715,,,,,,,,,
47,47,"Tell me something, anything!","chat? I'll do my best to keep up Do you have any gossip? Would you like to chat? I'll do my best to keep up Let's chat! Tell me something, anything! Do you have any gossip? Let's chat! Let's chat! Would you like to chat? I'll do my best to keep up Let's chat! Let's chat! Tell me something, anything!",Do you have any gossip?, do  you  have  any  gossip ,0.7934403419494629,0.9934317588806152,0.9973684,0.9972701,,,,,,,,,
48,48,Do you have any gossip?," keep up Do you have any gossip? Would you like to chat? I'll do my best to keep up Let's chat! Tell me something, anything! Do you have any gossip? Let's chat! Let's chat! Would you like to chat? I'll do my best to keep up Let's chat! Let's chat! Tell me something, anything! Do you have any gossip?","Tell me something, anything!","Tell  me ,  anything ",0.3650292828679085,0.8646170124411583,0.99700505,0.99723995,,,,,,,,,
49,49,"Tell me something, anything!","ip? Would you like to chat? I'll do my best to keep up Let's chat! Tell me something, anything! Do you have any gossip? Let's chat! Let's chat! Would you like to chat? I'll do my best to keep up Let's chat! Let's chat! Tell me something, anything! Do you have any gossip? Tell me something, anything!",Do you have any gossip?, do  you  have  any  gossip ,0.780202078819275,0.9801164746284485,0.99732995,0.99723834,,,,,,,,,
50,50,Do you have any gossip?,"at? I'll do my best to keep up Let's chat! Tell me something, anything! Do you have any gossip? Let's chat! Let's chat! Would you like to chat? I'll do my best to keep up Let's chat! Let's chat! Tell me something, anything! Do you have any gossip? Tell me something, anything! Do you have any gossip?",Would you like to chat? I'll do my best to keep up,would  you  like  to  chat ll  do  my  best  to  keep  up ,0.7965572228034338,0.9015906949838003,0.9971487,0.99725974,,,,,,,,,
51,51,Would you like to chat? I'll do my best to keep up,"something, anything! Do you have any gossip? Let's chat! Let's chat! Would you like to chat? I'll do my best to keep up Let's chat! Let's chat! Tell me something, anything! Do you have any gossip? Tell me something, anything! Do you have any gossip? Would you like to chat? I'll do my best to keep up",Would you like to chat? I'll do my best to keep up, would  you  like  to  chat  will  do  my  best  to  keep  up ,0.8306414087613424,0.9399551625053088,0.99730897,0.99722177,,,,,,,,,
52,52,Would you like to chat? I'll do my best to keep up,"chat! Let's chat! Would you like to chat? I'll do my best to keep up Let's chat! Let's chat! Tell me something, anything! Do you have any gossip? Tell me something, anything! Do you have any gossip? Would you like to chat? I'll do my best to keep up Would you like to chat? I'll do my best to keep up",Do you have any gossip?, do  you  have  any  gossip ,0.7691647291183472,0.9690952777862549,0.99726915,0.99712956,,,,,,,,,
53,53,Do you have any gossip?,"you like to chat? I'll do my best to keep up Let's chat! Let's chat! Tell me something, anything! Do you have any gossip? Tell me something, anything! Do you have any gossip? Would you like to chat? I'll do my best to keep up Would you like to chat? I'll do my best to keep up Do you have any gossip?",Would you like to chat? I'll do my best to keep up, would  you  like  to  chat  will  do  my  best  to  keep  up ,0.8126188268264135,0.935840239127477,0.9971758,0.9972768,,,,,,,,,
54,54,Would you like to chat? I'll do my best to keep up,"chat! Let's chat! Tell me something, anything! Do you have any gossip? Tell me something, anything! Do you have any gossip? Would you like to chat? I'll do my best to keep up Would you like to chat? I'll do my best to keep up Do you have any gossip? Would you like to chat? I'll do my best to keep up",Do you have any gossip?, do  you  have  any  gossip ,0.7847792148590088,0.9846385002136231,0.9974652,0.9971011,,,,,,,,,
55,55,Do you have any gossip?,"e something, anything! Do you have any gossip? Tell me something, anything! Do you have any gossip? Would you like to chat? I'll do my best to keep up Would you like to chat? I'll do my best to keep up Do you have any gossip? Would you like to chat? I'll do my best to keep up Do you have any gossip?","Tell me something, anything!"," tell  me ,  anything ",0.4400404393672943,0.9393372684717178,0.99773157,0.99718285,,,,,,,,,
56,56,"Tell me something, anything!"," have any gossip? Tell me something, anything! Do you have any gossip? Would you like to chat? I'll do my best to keep up Would you like to chat? I'll do my best to keep up Do you have any gossip? Would you like to chat? I'll do my best to keep up Do you have any gossip? Tell me something, anything!","Tell me anything, I love learning things", tell  me !  i  love  new ! ,0.46219457792384283,0.5261800502027784,0.99764395,0.9971958,,,,,,,,,
57,57,"Tell me anything, I love learning things","hing! Do you have any gossip? Would you like to chat? I'll do my best to keep up Would you like to chat? I'll do my best to keep up Do you have any gossip? Would you like to chat? I'll do my best to keep up Do you have any gossip? Tell me something, anything! Tell me anything, I love learning things",Let's chat!, from  chat ,0.0,0.5426212400197983,0.99743694,0.99715185,,,,,,,,,
58,58,Let's chat!," have any gossip? Would you like to chat? I'll do my best to keep up Would you like to chat? I'll do my best to keep up Do you have any gossip? Would you like to chat? I'll do my best to keep up Do you have any gossip? Tell me something, anything! Tell me anything, I love learning things Let's chat!",Let's chat!, great  chat ,0.0,0.5832489281892776,0.9973141,0.9972136,,,,,,,,,
59,59,Let's chat!,"ssip? Would you like to chat? I'll do my best to keep up Would you like to chat? I'll do my best to keep up Do you have any gossip? Would you like to chat? I'll do my best to keep up Do you have any gossip? Tell me something, anything! Tell me anything, I love learning things Let's chat! Let's chat!",Do you have any gossip?, do  you  have  any  gossip ,0.7355626821517944,0.9350236654281616,0.9966588,0.9969364,,,,,,,,,
60,60,Do you have any gossip?,"chat? I'll do my best to keep up Would you like to chat? I'll do my best to keep up Do you have any gossip? Would you like to chat? I'll do my best to keep up Do you have any gossip? Tell me something, anything! Tell me anything, I love learning things Let's chat! Let's chat! Do you have any gossip?",Let's chat!, great  chat ,0.0,0.6429740339517593,0.99629205,0.9970458,,,,,,,,,
61,61,Let's chat!,"o my best to keep up Would you like to chat? I'll do my best to keep up Do you have any gossip? Would you like to chat? I'll do my best to keep up Do you have any gossip? Tell me something, anything! Tell me anything, I love learning things Let's chat! Let's chat! Do you have any gossip? Let's chat!",Would you like to chat? I'll do my best to keep up, would  you  like  to  chat  i  do  my  best  to  keep  up ,0.826249380906423,0.9739425579706827,0.9973071,0.9971934,,,,,,,,,
